subset,words,tokens,tpw,min_tokens,max_tokens,mean_tokens,median_tokens,p90_tokens
all,100000,577778,5.7778,1,28,5.7778,5.0,9.0
suffix_words,28848,220741,7.6519,3,28,7.6519,7.0,11.0
halanta_words,35707,263771,7.3871,3,28,7.3871,7.0,11.0
super_suffix_words,711,6706,9.4318,5,20,9.4318,9.0,12.0
chain_len_3plus,15,155,10.3333,8,15,10.3333,10.0,12.0
