subset,words,tokens,tpw,min_tokens,max_tokens,mean_tokens,median_tokens,p90_tokens
all,100000,332079,3.3208,3,12,3.3208,3.0,4.0
suffix_words,28848,104656,3.6278,3,12,3.6278,3.0,4.0
halanta_words,35707,121391,3.3996,3,12,3.3996,3.0,4.0
super_suffix_words,711,2576,3.6231,3,6,3.6231,4.0,4.0
chain_len_3plus,15,63,4.2,3,7,4.2,4.0,5.0
