subset,words,tokens,tpw,min_tokens,max_tokens,mean_tokens,median_tokens,p90_tokens
all,4000000,8258454,2.0646,1,31,2.0646,2.0,3.0
suffix_words,1155515,3072496,2.659,1,31,2.659,2.0,4.0
halanta_words,1428486,3207867,2.2456,1,31,2.2456,2.0,4.0
super_suffix_words,28558,87248,3.0551,2,8,3.0551,3.0,4.0
chain_len_3plus,803,2504,3.1183,1,10,3.1183,3.0,5.0
