subset,words,tokens,tpw,min_tokens,max_tokens,mean_tokens,median_tokens,p90_tokens
all,4000000,13209470,3.3024,3,27,3.3024,3.0,4.0
suffix_words,1155515,4149045,3.5906,3,25,3.5906,3.0,4.0
halanta_words,1428486,4822602,3.376,3,27,3.376,3.0,4.0
super_suffix_words,28558,101436,3.5519,3,10,3.5519,3.0,4.0
chain_len_3plus,803,3227,4.0187,3,8,4.0187,4.0,5.0
