subset,words,tokens,tpw,min_tokens,max_tokens,mean_tokens,median_tokens,p90_tokens
all,4000000,23138610,5.7847,1,60,5.7847,5.0,9.0
suffix_words,1155515,8817531,7.6308,3,50,7.6308,7.0,11.0
halanta_words,1428486,10640700,7.4489,1,60,7.4489,7.0,11.0
super_suffix_words,28558,265390,9.293,5,22,9.293,9.0,12.0
chain_len_3plus,803,8760,10.9091,8,24,10.9091,11.0,15.0
