subset,words,tokens,tpw,min_tokens,max_tokens,mean_tokens,median_tokens,p90_tokens
all,40000,132266,3.3066,3,11,3.3066,3.0,4.0
suffix_words,13002,46235,3.556,3,11,3.556,3.0,4.0
halanta_words,14370,48639,3.3848,3,11,3.3848,3.0,4.0
super_suffix_words,316,1135,3.5918,3,6,3.5918,4.0,4.0
chain_len_3plus,15,61,4.0667,3,7,4.0667,4.0,5.0
